prefix,longueur_moyenne,entropie,profondeur_maximale,variance_longueur,balancedness,00_ngrams,11_ngrams,nombre,code
1,2.0,0.92,3,0.67,2,2,2,3,0
2,4.44,1.0,7,4.47,6,12,12,9,1
2,3.33,0.88,5,2.89,4,3,3,3,0
1,4.25,0.94,6,1.69,3,6,6,4,0
1,4.25,0.94,6,3.19,4,7,7,4,0
1,4.88,1.0,7,4.11,5,11,11,8,1
1,4.0,0.99,6,2.0,4,10,10,8,1
2,4.0,0.97,6,2.57,4,11,11,7,1
2,4.4,0.98,7,5.84,6,7,7,5,1
2,3.78,0.99,7,3.28,6,10,10,9,1
2,3.75,1.0,7,3.69,6,9,9,8,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
2,3.0,0.92,5,4.0,4,0,0,2,0
1,4.33,1.0,5,0.22,1,3,3,3,0
1,6.33,0.95,7,0.22,1,4,4,3,0
2,3.86,0.99,7,5.55,6,7,7,7,1
1,3.25,0.96,7,5.19,6,4,4,4,1
2,4.57,1.0,7,4.24,6,12,12,7,1
2,5.0,0.94,7,6.4,6,4,4,5,1
1,3.8,1.0,6,3.76,5,5,5,5,1
1,4.67,0.99,6,1.89,4,9,9,6,1
1,5.0,0.97,5,0.0,0,1,1,1,0
1,4.0,0.92,6,2.67,4,4,4,3,0
2,4.43,0.96,7,3.67,6,8,8,7,1
2,3.2,0.95,5,2.56,4,3,3,5,1
1,6.0,0.99,7,1.5,3,5,5,4,0
2,4.0,1.0,7,3.78,6,10,10,9,1
2,2.6,0.89,5,2.64,4,3,3,5,1
2,3.0,0.92,7,5.5,6,3,3,4,1
1,5.0,0.97,5,0.0,0,1,1,1,0
2,4.62,0.96,7,3.73,6,12,12,8,1
1,7.0,0.86,7,0.0,0,1,1,1,0
1,6.0,1.0,7,0.67,2,6,6,3,0
2,2.0,1.0,3,1.0,2,1,1,2,0
1,4.0,0.9,6,1.5,3,3,3,4,0
1,4.33,1.0,7,2.22,5,6,6,6,1
2,2.5,0.97,3,0.25,1,1,1,2,0
1,4.11,1.0,7,3.88,5,11,11,9,1
2,3.0,1.0,7,5.5,6,4,4,4,1
2,4.25,1.0,7,4.69,6,12,12,8,1
2,3.4,0.98,6,3.44,5,4,4,5,0
1,7.0,0.86,7,0.0,0,2,2,1,0
2,4.33,0.99,6,1.78,4,8,8,9,1
1,6.0,1.0,6,0.0,0,2,2,1,0
1,5.0,1.0,7,4.0,4,0,0,2,0
1,4.2,0.96,7,2.16,4,6,6,5,1
1,4.0,0.99,7,4.0,6,8,8,6,1
2,5.0,0.92,7,5.0,6,10,10,6,1
2,4.0,0.99,6,2.89,5,10,10,9,1
1,4.38,0.97,7,2.73,5,11,11,8,1
2,3.38,1.0,6,2.73,5,6,6,8,1
2,3.88,0.99,7,3.86,6,8,8,8,1
1,4.33,1.0,7,4.22,5,4,4,3,0
2,4.14,0.99,7,5.27,6,10,10,7,1
1,5.75,0.99,6,0.19,1,7,7,4,0
1,5.0,0.97,5,0.0,0,1,1,1,0
1,7.0,0.86,7,0.0,0,3,3,1,0
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,3.0,-0.0,3,0.0,0,1,1,1,0
1,5.0,0.72,5,0.0,0,1,1,1,0
1,3.0,0.92,3,0.0,0,0,0,1,0
2,2.67,0.99,4,1.22,3,3,3,6,1
1,3.67,0.99,4,0.22,1,4,4,3,0
2,3.67,0.95,7,3.56,6,8,8,9,1
2,2.5,0.72,4,2.25,3,1,1,2,0
2,3.6,0.99,7,4.64,6,6,6,5,1
2,4.38,0.97,7,5.98,6,12,12,8,1
2,4.89,0.99,7,3.88,5,17,17,9,1
1,3.4,0.98,5,2.24,4,5,5,5,1
1,4.33,1.0,6,2.56,5,7,7,6,0
1,6.0,0.92,6,0.0,0,1,1,1,0
1,4.67,0.94,7,4.22,6,8,8,6,1
2,4.5,0.98,7,3.58,6,8,8,6,1
1,5.11,1.0,7,3.43,6,13,13,9,1
1,5.0,0.97,7,2.67,4,5,5,3,0
2,4.0,1.0,7,3.71,6,9,9,7,1
2,4.25,0.91,7,4.94,6,10,10,8,1
2,3.88,0.98,7,6.36,6,7,7,8,1
1,3.5,0.59,5,2.25,3,2,2,2,0
2,3.29,0.83,7,4.2,6,6,6,7,1
2,4.0,0.89,6,2.44,5,9,9,9,1
2,4.14,0.93,7,4.12,5,10,10,7,1
2,4.0,1.0,7,6.0,6,7,7,6,1
1,3.0,0.99,6,2.67,5,5,5,6,1
2,4.2,0.99,6,3.76,5,6,6,5,1
1,3.33,1.0,5,1.56,3,1,1,3,0
2,4.44,0.99,7,4.47,6,11,11,9,1
2,4.5,0.99,7,6.25,5,1,1,2,0
1,5.0,0.92,6,0.67,2,4,4,3,0
1,3.71,1.0,6,3.06,5,6,6,7,1
2,4.0,0.99,7,4.25,6,9,9,8,1
1,4.0,1.0,4,0.0,0,1,1,1,0
1,5.0,0.94,7,4.4,5,8,8,5,1
1,3.0,0.99,4,0.67,2,1,1,3,1
2,5.1,0.99,6,1.09,3,18,18,10,1
2,2.25,0.92,4,1.69,3,2,2,4,1
2,4.0,0.81,7,3.14,6,10,10,7,1
2,3.43,0.95,7,5.67,6,6,6,7,1
1,4.86,0.98,7,2.12,5,7,7,7,1
1,3.33,1.0,5,1.56,3,3,3,3,0
1,3.33,1.0,5,2.89,4,1,1,3,0
2,4.22,1.0,7,3.95,6,10,10,9,1
1,4.29,0.95,7,4.2,6,8,8,7,1
1,4.0,0.81,4,0.0,0,1,1,1,0
1,2.0,1.0,2,0.0,0,0,0,1,0
1,4.67,0.94,7,4.89,6,7,7,6,1
1,6.0,0.98,7,1.0,2,4,4,2,0
2,4.57,0.95,7,4.53,6,9,9,7,1
2,3.67,1.0,6,2.22,5,9,9,9,1
2,3.0,0.92,5,2.8,4,5,5,5,1
2,3.56,1.0,6,2.69,5,8,8,9,1
2,1.5,0.92,2,0.25,1,0,0,2,0
2,5.12,0.96,7,3.86,6,16,16,8,1
2,4.62,0.99,7,4.98,6,11,11,8,1
1,2.0,-0.0,2,0.0,0,1,1,1,0
2,4.56,1.0,6,2.25,5,16,16,9,1
1,5.25,1.0,7,3.69,5,7,7,4,0
2,3.6,0.99,7,5.44,6,4,4,5,1
1,4.33,0.96,7,6.22,6,3,3,3,0
1,2.5,1.0,4,0.75,2,2,2,4,0
1,4.0,0.81,4,0.0,0,1,1,1,0
1,4.62,0.99,7,2.48,5,9,9,8,1
2,4.7,1.0,7,3.01,5,13,13,10,1
1,4.0,0.98,7,4.67,5,3,3,3,0
2,4.5,0.92,7,6.25,5,1,1,2,0
1,2.6,1.0,4,1.04,3,3,3,5,1
2,4.62,0.97,7,3.98,6,10,10,8,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
2,4.33,0.98,7,3.78,6,11,11,9,1
1,4.25,0.96,7,2.19,4,11,11,8,1
1,4.5,1.0,7,2.0,4,10,10,8,0
1,5.33,0.95,6,0.22,1,7,7,3,0
2,4.71,0.98,7,2.49,5,11,11,7,1
1,3.5,1.0,6,3.25,5,1,1,4,1
1,2.0,1.0,2,0.0,0,0,0,1,0
1,6.33,1.0,7,0.22,1,6,6,3,0
1,6.0,1.0,7,1.0,2,4,4,2,0
1,3.75,1.0,5,0.69,2,3,3,4,0
2,4.29,0.92,7,3.92,6,9,9,7,1
2,3.38,0.99,6,2.73,5,5,5,8,1
2,4.11,1.0,6,3.88,5,10,10,9,1
1,4.67,1.0,6,3.56,4,4,4,3,0
1,5.4,0.92,7,1.84,3,8,8,5,0
1,4.67,0.94,6,1.56,3,3,3,3,0
2,3.0,0.92,5,1.5,3,2,2,4,1
1,4.4,0.99,7,3.44,5,4,4,5,0
1,5.2,1.0,7,2.56,4,7,7,5,0
1,4.0,1.0,7,3.5,5,4,4,4,1
1,4.0,0.95,7,3.5,5,9,9,8,1
1,5.0,0.97,7,8.0,6,4,4,3,0
1,5.6,0.97,7,3.04,4,8,8,5,0
1,4.4,0.95,7,4.24,5,7,7,5,1
1,2.0,0.92,3,0.67,2,1,1,3,0
1,6.0,1.0,6,0.0,0,2,2,1,0
1,4.6,0.97,7,2.24,4,5,5,5,1
1,4.25,0.94,7,3.69,5,5,5,4,0
1,5.33,1.0,7,2.89,4,5,5,3,0
2,3.6,0.76,7,4.24,6,6,6,5,1
1,4.33,0.98,7,4.0,6,12,12,9,1
1,5.0,0.72,5,0.0,0,2,2,1,0
2,3.14,0.99,7,4.12,6,5,5,7,1
1,1.5,0.92,2,0.25,1,1,1,2,0
2,4.22,0.99,6,2.17,5,8,8,9,1
1,3.5,0.99,5,2.25,3,1,1,2,0
1,4.56,1.0,7,1.58,5,15,15,9,1
2,3.6,0.85,6,3.04,5,5,5,5,1
1,5.5,0.99,7,2.75,4,6,6,4,0
1,4.4,0.99,7,1.84,4,15,15,10,1
1,7.0,0.86,7,0.0,0,3,3,1,0
2,4.43,0.99,7,5.39,6,10,10,7,1
1,5.2,1.0,7,1.56,4,17,17,10,0
1,3.0,1.0,5,4.0,4,2,2,2,0
2,3.43,0.99,6,3.1,5,5,5,7,1
1,3.33,0.97,6,4.22,5,2,2,3,1
1,3.2,0.99,6,2.56,5,4,4,5,1
2,2.25,0.99,3,0.69,2,3,3,4,1
2,4.0,0.99,7,4.5,6,8,8,8,1
1,3.71,1.0,5,1.92,4,8,8,7,1
2,4.56,0.99,6,2.69,5,10,10,9,1
1,3.5,0.99,4,0.25,1,3,3,2,0
2,4.0,0.98,7,6.0,6,2,2,3,0
1,4.6,0.99,6,3.44,5,6,6,5,0
1,4.0,0.81,6,4.67,5,3,3,3,0
2,3.0,1.0,6,3.2,5,4,4,5,1
1,4.0,0.98,7,4.67,5,4,4,3,0
1,4.2,1.0,6,1.36,3,6,6,5,1
1,2.0,-0.0,2,0.0,0,1,1,1,0
2,3.2,0.99,7,5.76,6,4,4,5,1
1,3.0,0.92,3,0.0,0,1,1,1,0
1,7.0,0.59,7,0.0,0,2,2,1,0
2,3.86,0.92,7,4.12,6,7,7,7,1
1,3.5,0.99,4,0.25,1,3,3,2,0
1,4.4,1.0,7,5.84,6,7,7,5,1
1,3.25,1.0,4,0.69,2,3,3,4,0
2,3.0,1.0,5,2.0,4,7,7,7,1
1,3.0,0.92,3,0.0,0,1,1,1,0
2,3.33,0.99,5,2.22,4,7,7,6,1
1,3.33,0.88,5,1.56,3,3,3,3,1
1,3.5,1.0,7,4.75,6,3,3,4,0
1,1.33,0.81,2,0.22,1,1,1,3,1
2,3.75,1.0,6,2.19,4,3,3,4,1
1,2.0,-0.0,2,0.0,0,1,1,1,0
2,3.62,1.0,7,4.48,6,8,8,8,1
1,3.0,0.92,3,0.0,0,1,1,1,0
1,5.0,0.97,6,1.0,2,2,2,2,0
1,3.5,0.86,4,0.25,1,1,1,2,0
2,3.67,0.99,6,3.89,5,5,5,6,1
2,3.0,1.0,6,2.4,5,6,6,10,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,5.25,0.99,7,6.19,6,6,6,4,0
1,5.0,0.88,6,1.0,2,4,4,2,0
2,4.0,0.7,7,4.5,6,4,4,4,1
1,5.14,0.94,7,1.84,4,10,10,7,1
1,7.0,0.37,7,0.0,0,6,6,2,0
1,4.71,1.0,7,3.63,6,9,9,7,1
2,3.0,0.96,7,4.33,6,5,5,6,1
1,2.67,0.95,4,0.89,2,3,3,3,0
2,3.43,0.98,6,3.67,5,8,8,7,1
2,3.14,1.0,6,3.27,5,8,8,7,1
2,3.33,0.88,5,2.22,4,6,6,6,1
2,2.5,0.88,4,1.25,3,3,3,4,1
1,4.67,0.99,7,3.22,5,9,9,6,0
2,3.11,0.86,7,2.99,6,8,8,9,1
2,4.0,1.0,7,4.25,6,6,6,8,1
1,7.0,0.99,7,0.0,0,5,5,2,0
1,5.0,0.97,7,4.0,4,3,3,2,0
2,5.3,0.97,7,3.21,5,16,16,10,1
1,5.0,0.97,5,0.0,0,2,2,1,0
1,4.78,0.99,7,1.73,4,14,14,9,1
2,3.5,0.86,6,6.25,5,1,1,2,0
2,4.89,0.98,7,6.1,6,10,10,9,1
1,3.0,0.99,4,2.0,3,3,3,3,0
1,3.0,0.92,4,1.0,2,1,1,2,0
1,4.29,1.0,7,2.49,5,11,11,7,1
1,4.5,0.92,6,2.25,3,3,3,2,0
1,2.5,0.97,3,0.25,1,1,1,2,0
1,4.86,1.0,6,0.41,2,9,9,7,1
1,3.6,0.96,5,1.04,3,5,5,5,1
2,3.71,0.96,7,3.92,6,6,6,7,1
2,4.71,0.97,7,5.35,6,10,10,7,1
1,4.4,0.96,7,2.44,5,12,12,10,1
2,2.17,1.0,4,1.14,3,2,2,6,1
1,4.0,1.0,7,4.22,6,8,8,9,1
2,4.0,1.0,7,4.0,6,8,8,7,1
1,5.6,0.99,7,2.24,5,14,14,10,1
2,5.2,1.0,7,3.56,6,14,14,10,1
2,3.75,0.92,6,2.69,4,7,7,8,1
2,3.88,0.96,7,3.61,6,8,8,8,1
1,6.0,1.0,6,0.0,0,1,1,1,0
2,2.33,0.99,4,1.56,3,1,1,6,1
1,4.6,1.0,7,2.64,4,7,7,5,0
2,4.14,0.99,7,4.98,6,8,8,7,1
1,6.33,0.98,7,0.22,1,6,6,3,0
1,3.62,0.99,5,1.23,3,8,8,8,1
1,5.25,1.0,6,0.69,2,5,5,4,0
1,4.33,0.93,7,2.56,5,5,5,6,0
1,3.0,0.92,3,0.0,0,1,1,1,0
1,4.5,0.99,6,2.25,3,3,3,2,0
1,5.75,0.99,6,0.19,1,7,7,4,0
1,5.8,0.98,7,3.76,5,9,9,5,0
1,4.43,1.0,7,3.39,5,5,5,7,1
2,4.56,1.0,7,3.8,6,10,10,9,1
2,5.33,0.9,7,3.89,6,7,7,6,1
1,4.33,0.96,6,2.89,4,6,6,3,0
1,5.0,1.0,6,1.0,2,2,2,2,0
2,3.78,0.99,6,2.17,5,10,10,9,1
2,3.67,0.99,7,4.89,6,6,6,6,1
1,4.57,0.99,7,4.82,6,8,8,7,1
2,3.0,0.92,5,4.0,4,2,2,2,0
1,3.0,0.65,4,1.0,2,2,2,2,0
2,3.0,0.92,5,2.67,4,3,3,3,0
2,4.14,0.99,7,3.27,5,6,6,7,1
2,3.4,0.98,7,5.44,6,4,4,5,1
1,4.6,1.0,7,3.04,5,8,8,5,0
1,4.0,0.99,6,3.5,5,3,3,4,0
1,3.5,1.0,7,3.92,6,4,4,6,0
1,5.0,0.72,5,0.0,0,2,2,1,0
2,3.88,1.0,7,3.36,6,8,8,8,1
2,4.29,1.0,7,5.63,6,6,6,7,1
2,4.56,0.99,7,3.14,6,10,10,9,1
1,5.0,0.88,6,1.0,2,3,3,2,0
1,5.43,0.9,7,2.53,5,13,13,7,0
1,5.0,0.99,7,3.2,5,9,9,5,1
1,4.5,0.92,6,2.25,3,2,2,2,0
1,4.0,1.0,4,0.0,0,1,1,1,0
1,6.0,0.92,6,0.0,0,1,1,1,0
1,3.33,0.47,4,0.89,2,4,4,3,1
1,4.0,0.99,6,4.5,5,4,4,4,0
1,4.33,1.0,7,6.22,6,4,4,3,0
2,4.44,0.99,7,4.25,6,15,15,9,1
2,3.11,0.94,7,4.77,6,7,7,9,1
2,4.0,0.92,7,5.33,6,7,7,6,1
1,3.5,1.0,6,2.25,4,4,4,4,0
2,4.1,1.0,7,3.89,6,10,10,10,1
2,2.0,0.95,3,1.0,2,2,2,4,1
1,4.67,0.94,7,2.0,5,13,13,9,1
1,5.0,0.99,7,3.6,5,7,7,5,0
2,3.67,1.0,7,4.67,6,9,9,9,1
2,3.67,0.99,7,4.44,6,9,9,9,1
1,4.5,1.0,6,2.75,4,6,6,4,0
1,6.0,1.0,6,0.0,0,2,2,1,0
1,2.0,1.0,2,0.0,0,0,0,2,0
1,2.0,1.0,2,0.0,0,0,0,1,0
2,2.86,0.93,5,1.55,4,6,6,7,1
2,3.86,0.92,6,2.69,4,7,7,7,1
1,3.0,0.92,3,0.0,0,1,1,1,0
1,5.38,0.98,7,2.73,5,11,11,8,1
1,3.0,0.99,4,2.0,3,2,2,3,0
1,4.83,0.96,7,2.47,4,11,11,6,1
1,5.29,1.0,7,3.06,5,11,11,7,0
1,4.8,0.98,6,2.16,3,5,5,5,0
1,6.0,1.0,6,0.0,0,2,2,2,0
2,2.8,0.99,7,4.96,6,3,3,5,1
2,4.3,0.98,7,3.21,6,10,10,10,1
2,3.12,0.99,5,2.36,4,5,5,8,1
2,4.3,0.93,7,4.01,6,10,10,10,1
1,3.67,0.99,5,0.56,2,6,6,6,1
2,4.88,1.0,7,4.86,6,9,9,8,1
1,2.0,0.65,3,0.67,2,1,1,3,1
1,4.0,0.95,6,1.5,3,5,5,4,0
2,3.5,1.0,7,5.5,6,8,8,8,1
2,3.5,0.99,6,2.0,5,7,7,8,1
2,3.83,0.93,6,3.14,5,7,7,6,1
1,4.57,1.0,6,2.24,4,11,11,7,1
1,5.6,0.99,7,1.04,3,6,6,5,0
2,3.17,1.0,5,1.81,4,6,6,6,1
1,4.86,1.0,7,2.98,5,11,11,7,1
1,4.25,0.98,7,4.44,6,8,8,8,1
1,6.0,0.92,6,0.0,0,4,4,2,0
2,4.7,0.9,7,4.61,6,14,14,10,1
1,4.0,1.0,4,0.0,0,2,2,1,0
1,4.0,0.98,6,2.67,4,5,5,3,0
1,5.0,0.97,6,0.67,2,4,4,3,0
1,4.67,0.99,6,1.56,3,3,3,3,0
